6 kinds of wood,2 different varieties of wood planks stacked on top of each other,a cat,a chicken,a clay pot,a close encounter with a nighttime creature,a cold place,a content critter,a dangerous mob,a desert,a door,a family,a four-block tall tower of sand,a good place to get prismarine,a hole you dug,a light source,a magma cube,a mushroom,a noteworthy fortress,a patch of gravel,a promising cave for gathering resources,a rare biome,a sapling that you planted,a shipwreck,a strange block to be in lava,a striped landscape,a tropical biome,a useful resource for building,a viable minecraft ingredient for cake,a village farm,a villager without a job,an abandoned mineshaft,an animal whose enclosure gives it a reason to be happy,an ideal place to build a base,an igloo,an oak tree,an ominous banner,"anything, as long as you are under water when taking it",aquatic life,blue stained glass,day-to-day labor,iron_ore,items,loot,some stairs that you placed onto some cobblestone,something organic and orange,something out of place,something that can help me get emeralds,stilts,sugarcane,two villagers,useful shelter in an otherwise dangerous place
0.25,1.0,0.0,1.0,1.0,1.0,0.25,0.0,0.25,0.25,1.0,0.75,0.25,0.0,1.0,1.0,0.0,0.75,1.0,1.0,0.75,1.0,0.75,0.75,1.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.75,1.0,0.75,0.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,0.25,1.0,0.0,0.75,0.75,1.0,1.0,0.0,1.0
0.25,1.0,0.0,1.0,1.0,1.0,0.25,0.0,0.25,0.25,1.0,0.75,0.5,0.0,1.0,1.0,0.0,0.75,1.0,1.0,0.75,0.75,0.75,0.75,1.0,1.0,0.0,1.0,0.0,1.0,0.5,1.0,1.0,1.0,0.75,0.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.75,0.75,1.0,1.0,0.0,1.0
0.25,1.0,0.0,1.0,1.0,1.0,0.25,0.0,0.25,0.25,1.0,0.75,0.0,0.0,1.0,1.0,0.0,0.75,1.0,1.0,0.75,1.0,0.75,0.75,1.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,0.75,0.0,0.0,0.75,1.0,0.0,1.0,0.0,1.0,0.25,1.0,0.0,0.75,0.75,1.0,1.0,0.0,1.0
1.0,0.25,0.0,1.0,1.0,1.0,0.25,0.0,0.25,0.25,1.0,0.75,0.25,0.0,1.0,1.0,0.0,0.75,1.0,1.0,0.75,1.0,0.75,0.75,1.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.75,1.0,0.75,0.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.75,0.75,1.0,1.0,0.0,1.0
0.25,1.0,0.0,1.0,1.0,1.0,0.25,0.0,0.25,0.75,1.0,0.75,0.25,0.0,1.0,1.0,0.0,0.75,1.0,0.75,0.75,1.0,1.0,0.75,1.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,0.75,1.0,0.75,0.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,0.25,1.0,0.0,1.0,0.75,1.0,1.0,0.0,1.0
0.25,1.0,0.0,1.0,1.0,1.0,0.25,0.0,0.25,0.25,1.0,0.75,0.5,0.0,1.0,1.0,0.0,0.75,1.0,0.75,0.25,0.75,0.75,0.75,1.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,0.75,0.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,0.25,1.0,0.0,0.75,0.75,1.0,1.0,0.0,1.0
0.25,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.25,0.25,1.0,0.75,0.25,0.0,1.0,1.0,0.0,0.75,1.0,0.75,0.25,1.0,0.75,0.75,1.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.75,0.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,0.25,1.0,0.0,0.75,0.75,1.0,1.0,0.0,1.0
0.25,1.0,0.0,1.0,1.0,1.0,0.25,0.0,0.25,0.25,1.0,1.0,0.5,0.0,1.0,1.0,0.0,1.0,1.0,1.0,0.75,0.75,1.0,0.75,1.0,1.0,0.0,1.0,0.0,1.0,0.25,1.0,1.0,1.0,0.75,0.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,0.25,1.0,0.25,0.75,0.75,1.0,1.0,0.0,1.0
0.25,0.75,0.0,1.0,1.0,1.0,0.25,0.0,0.25,0.25,1.0,0.75,0.5,0.0,1.0,1.0,0.0,0.75,1.0,1.0,0.75,0.75,0.75,0.75,0.75,1.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.75,0.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,0.25,1.0,0.0,0.75,0.75,1.0,1.0,0.0,1.0
0.25,1.0,0.0,1.0,1.0,1.0,0.25,0.0,0.25,0.25,1.0,0.75,0.0,0.0,1.0,1.0,0.0,0.75,1.0,1.0,0.75,0.75,0.75,0.75,1.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,0.75,0.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,0.5,1.0,0.0,0.75,0.75,1.0,1.0,0.0,1.0
